PK_InfoEmpresas;nm_razao_social;fl_matriz
132;SKAPLANDIA LTDA;sim
134;COMERCIAL PATRICIO LTDA;sim
136;LANCHONETE RESTAURANTE A PACERE LTDA;sim
139;I DOVIDIO & CIA LTDA ME;sim
142;TERESINHA SILVA LIMA DE MATOS ME;sim
145;SACOPEL INDUSTRIA E COMERCIO DE PAPEIS LTDA;sim
148;SR COMERCIO DE VEICULOS LTDA;sim
151;BAR E RESTAURANTE WILSON LTDA;sim
154;CASA DE CARNES PONTE ALTA ITARARE LTDA;sim
156;EDIR MOVEIS IND E COM DE MOVEIS EMBUTIDOS LTDA;sim
158;RD OLIVEIRA AUTO PECAS LTDA ME;sim
160;LABOR ARTES GRAFICAS COMERCIO E REPRESENTACOES LTDA;sim
162;TOTOTA MAGAZINE LTDA;sim
165;RODO OLEO COMERCIO E DISTRIBUICAO DE PECAS E LUBR LTDA;sim
168;BALESTRIN & SCHINKE LTDA;sim
170;E K PIVETA & CIA LTDA ME;sim
172;GRAAL FONOAUDIOLOGIA E PSICOMOTRICIDADE LTDA ME;sim
174;PONTOS & RABISCOS ARMARINHO E PAPELARIA LTDA ME;sim
177;FB SNOKKER BAR LTDA ME;sim
180;ELEICOES 2004 FRANCISCO VILAS BOAS VEREADOR;sim
183;RAIMUNDO LOPES BELFORT;sim
187;IS TECNOLOGIA LTDA ME;sim
190;TDA CONSULTORES ASSOCIADOS LTDA;sim
192;JURANDY ALMEIDA BARROS RAMOS ME;sim
195;CLUBE DO BOLINHA;sim
197;ELEICAO 2008 PAULO ROBERTO GOES JUNIOR VEREADOR;sim
199;EDMUNDO NOGUEIRA;sim
201;ESTRELA MATERIAS DE CONSTRUCAO LTDA;sim
203;EMPRESA MINEIRA DE SERVICOS CADASTRAIS LTDA ME;sim
206;ELETRONICA BRASILEIRA LTDA;sim
208;LAURENTINO LOURENCO DE CARVALHO ME;sim
210;PARTIDO TRABALHISTA BRASILEIRO;sim
212;RIO NEGRO CONSULTORIA INTERNACIONAL LTDA ME;nao
214;Z M ROMAO PADARIA E CONFEITARIA ME;sim
216;STRAUBE & CIA LTDA;sim
219;BORGES & BARRETO SC;sim
223;AGENCIA BRASILEIRA DE CULTURA LTDA;sim
225;VANDERLEI BECALETI ME;sim
228;SEBASTIAO ANTONIO MACIEL ME;sim
230;IZAIAS FERREIRA DA SILVA;sim
232;LUTELL CONFECCAO LTDA;sim
235;SO JEANS COMERCIO E CONFECCOES LTDA;sim
238;INSTALADORA BLUMENAUENSE COM DE MAT CONSTRUCAO LTDA;sim
241;COMERCIO DE PRODUTOS ALIMENTICIOS CUPECE LTDA;sim
243;LUMINOSOS E TOLDOS MINAS LTDA;sim
246;LUTRE LAMINADOS INDUSTRIA E COMERCIO LTDA ME;sim
248;ASTRAL COMERCIO E DISTRIBUICAO DE EMBALAGENS LTDA;sim
250;CLEVERSON OGEDA DE OLIVEIRA;sim
252;ALMIR FEITOSA MARQUES E CIA LTDA;sim
255;T R ESTOFEL BAZAR;sim
258;TRIANGULO COMERCIO DE BRINQUEDOS LTDA;sim
260;RODOTRANS TRANSPORTES SERTAOZINHO LTDA;sim
262;GRUPO MUSICAL SAMBASGOD LTDA;sim
264;MAGIA E SEDUCAO CONFECCOES LTDA ME;sim
266;IVONE GLATZ BUZZI;sim
269;SORVETERIA SHOW LTDA;sim
272;ADILSON ALVES CORREA;sim
274;SISTEMAS E CONTROLES DE SOLDA SA;sim
277;VITORIO CECCONELLO SACCARDO;sim
279;BRASIL & MOVIMENTO SA;nao
282;OM MODAS LTDA ME;sim
284;DALSIMAR COMERCIO DE EMBALAGENS PLASTICAS LTDA ME;sim
287;LUIZ GONZAGA BUENO;sim
289;ROSINAIDE MARIA DA SILVA NASCIMENTO ME;sim
292;VALENTIN TITON;sim
294;LUIS COELHO ARAUJO ME;sim
297;NEONIO INDUSTRIA COMERCIO DE ROUPAS LTDA;sim
300;MVA ENGENHARIA ELETRICA & CONSULTORIA LTDA SC;sim
302;A H LIMA;sim
304;BAR E MERCEARIA CRISNI LTDA;sim
306;SEBASTIAO DE OLIVEIRA ME;sim
308;D A D COMERCIO E SERVICOS PARA ESCRITORIOS LTDA ME;sim
311;ELETRONICA STUDIO 25 LTDA ME;sim
313;NADIR MENDES PEREIRA;sim
316;ISOTERM COMERCIO E INDUSTRIA LTDA;sim
318;LUIZ RENI GOMES DA LUZ ME;sim
320;MCO VIAGENS E TURISMO LTDA;sim
323;BAR E MERCEARIA MONTE FUJI LTDA;sim
325;EDSON DE OLIVEIRA BEIJINHO;sim
329;PAULO ROBERTO MONTEIRO PINDAMONHANGABA;sim
331;RAIMUNDO VALDO BEZERRA;sim
335;F H MAKDESI YACOUB CONFECCOES;sim
338;EMILIO FERNANDES;sim
340;ESTER KOCHELLA ME;sim
343;SEBASTIANA BATISTA DE ALMEIDA RIO PRETO;sim
346;JUVENAL ANTONIO BARROS SANTOS;sim
348;ELETRONICA SOLLAR LTDA;sim
351;LATICINIOS BOA NATA INDUSTRIA E COMERCIO LTDA;nao
353;ANTONIO B DO NASCIMENTO;sim
357;ELEICOES 2004 REGINALDA BRAZIL DA PAIS VEREADOR;sim
360;PROTCI & PROTCI LTDA ME;sim
363;MARCOS JOANE DA COSTA;sim
367;CONFAB INDUSTRIAL SOCIEDADE ANONIMA;nao
370;A R PUBLICIDADE LTDA;sim
373;FLAVIO DA SILVA GUIMARAES E CIA LTDA;sim
376;BAZAR DOCE MEL LTDA ME;sim
378;SPORT GINASIUN ARTIGOS ESPORTIVOS LTDA ME;nao
381;AIANE COMERCIO E REPRESENTACOES LTDA;sim
384;MARCHRIST REPRESENTACOES LTDA ME;sim
387;MALUE MODA INFANTIL LTDA;sim
389;IRMAOS DOI LTDA;sim
391;MULTIMARCAS LIDER ELETRONICOS LTDA;sim
393;CDP PARTICIPACAO EMPREENDIMENTOS E ASSESSORIA LTDA;nao
396;JOSE SIMAO FERREIRA;sim
398;ORQUESTRA FILARMONICA DE OSASCO;sim
400;MARTINHO JACOB RANGHETTI;sim
402;CAIXA DE CUSTEIO ESC DA EESG OTONIEL MOTA;sim
404;PRONUPCIA ENXOVAIS E GRINALDAS LTDA;sim
407;ALAIR DUTRA DE ARANTES ME;sim
409;APARECIDO RELCH CONFECCOES;sim
411;MARIA A LEAL CLARO;sim
413;ELI QUEIROZ;sim
415;ISMAEL FERIGATTO;sim
417;SEBASTIAO CARLOS SILVA O MINEIRO;sim
420;JOELSON CLOVES DA SILVA;sim
424;JOSE ADAO;sim
428;LUCINDO STEFANIN ME;sim
430;FAUSTINONI E FAUSTINONI;sim
432;VEICULOS OLIVEIRA LTDA;sim
434;NOURIVAL PINHEIRO BAR;sim
437;D A BARRETO COMERCIO E REPRESENTACOES LTDA ME;sim
439;MILENE ZENAIDE SCMITZ DE VARGAS ME;nao
442;LEDI MARIA ALVES DE FREITAS;sim
444;A EKHARDT & CIA LTDA;sim
447;PEPE TRANSPORTES DE CARGA LTDA;sim
449;JOSE CARLOS SERVADIO;sim
451;DAFRE AUTO PECAS LTDA;sim
453;OFERTAO CARMELITANO LTDA;sim
455;NORTEX IGUACU COMERCIO DE ROUPAS LTDA;nao
458;COMERCIAL SOGEMEC MAQUINAS E MOVEIS PARA ESCRITORIO EPP LTDA;nao
461;MANU & HELO INSTITUTO DE BELEZA LTDA;sim
463;REPUBLIC HOME VIDEO LTDA;sim
465;DAVANCO & GODOI LTDA;sim
467;A C GARCIA E IRMAOS LTDA;sim
470;CESP COMPANHIA ENERGETICA DE SAO PAULO;nao
473;ADILIA BELOTTI & CIA LTDA;sim
476;LOJAS PAPELITA DO BRASIL PAPELARIA EPP LTDA;nao
479;ALBERTO GOMES SALES;sim
481;INDUSTRIA E COMERCIO DE CERAMICA DE CIMENTO LTDA;sim
484;SELU COMERCIO ATACADISTA LTDA;sim
486;TERESINHA ANTUNES ZAPAROLLI;sim
488;FAUSTO SKAF;sim
490;INDUSTRIA DE MOVEIS MAPLE LTDA;nao
493;HELOISA CANDIDO;sim
495;AGROSANTOS AGRICOLA LTDA;sim
497;W BASILIO MATERIAL DE CONSTRUCAO ME;sim
499;TECMAQUINAS IND E COMERCIO EPP LTDA;nao
502;ERICA FARIAS;sim
505;CIBRASUL COMERCIO IMPORTACAO E EXPORTACAO LTDA;sim
508;ELEICOES 2004 CF CAMPESTRE DA SERRA RS COMITE FINANC MUN UNICO PMDB;sim
511;RIB S COMESTIVEIS LTDA;sim
513;LUIZ SOARES DE SOUZA ACOUGUE ME;sim
515;ANNA ESTER PIEROBON NAVARRO SANCHEZ;sim
517;LUCIA CRISTINA DUARTE DE FARIAS;sim
520;ALMIR RODRIGUES TAVARES ME;sim
522;OSVALDO LAURETT PINA PADARIA ALIANCA ME;sim
525;JOSE QUINTINO CIDRINHO ME;sim
529;AQUILES COSTA GOMES MARCHANTARIA ME;sim
531;M A LIRA COMERCIO DE PECAS;sim
533;ELEICAO 2006 COMITE FINANCEIRO UNICO PCO;sim
536;ROMERO INDUSTRIAL E COMERCIAL LTDA;sim
538;SAMA REPRESENTACOES COMERCIAIS LTDA;sim
540;SANDRA NOBRE RODRIGUES ME;sim
542;RADIO SUMARE LTDA;sim
545;PATCRIS COMERCIAL DE MALHAS LTDA;sim
547;CLEIDI NEUZA AMARO RODRIGUES ME;sim
550;MARIA FRANCISCA LIMA LEITE;sim
552;OTACILIO FELIPE DO CARMO;sim
554;FABIO ROBERTO BENEVENUTO;sim
557;CLAUDIO VICENTE MACHADO;sim
560;MARIA I C DA MATTA;sim
562;PRO CLINICA LABORATORIO DE ANALISES S C LTDA;sim
564;MIGUEL NODARY DE CASTRO;sim
566;SORAIA DE CACIA DANGUI;sim
569;MARCIO ANTONIO HARDER MORAES;sim
571;TENI JOSE DE MACEDO;sim
573;COROADO FUTEBOL CLUBE;sim
576;THEODORO LUKIANETZ ME;sim
578;ELEICAO 2008 ELIZERA ANGELA DE FREITAS VEREADOR;sim
580;MARIA HELENA PIRES;sim
582;JOSE MIRANDA RIBEIRO FILHO;sim
585;ADEMILTO PEREIRA KLEIN MICRO EMPRESA ME;sim
588;LUIS EDUARDO PAVAN ME;sim
590;ORIENT COMERCIAL DE ALIMENTOS LTDA;sim
592;ELEICAO 2008 EMILIANO BRANQUINHO DE MELO VEREADOR;sim
595;M M COELHO DE SOUZA ME;sim
598;VAL MUSIC PRODUCOES ARTISTICAS E COMERCIO LTDA ME;sim
600;JACQUELINE CABRAL DE OLIVEIRA;sim
603;MANUEL FERREIRA DA SILVA;sim
605;CLEBER ROGERIO PASTRE COELHO;sim
607;DANIELA CRISTINA ALBUQUERQUE OLIVEIRA;sim
609;BAR E RESTAURANTE TCHO LTDA;sim
611;ELEICAO 2008 COMITE FINANCEIRO MUNICIPAL UNICO MA PPS;sim
614;TARCILA ZENEN DOS SANTOS;sim
617;DYE PHARMACEUTICALS INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA ME;sim
619;LAVANDERIA MOURA LTDA ME SC;sim
621;FERNANDA HELOISA NUNES ME;sim
624;GANDU REFLORESTAMENTO LTDA ME;sim
627;FLIPERAMA PORTO VELHO LTDA;sim
630;VICENTE BARROS SETUBAL;sim
633;ELEICAO 2010 PEDRO FERREIRA OLIVEIRA DEPUTADO ESTADUAL;sim
636;GRAPHIS ENGENHARIA E CONSULTORIA LTDA SC;sim
638;CONSORCIO MENDES JUNIOR CARIOCA CHRIST NIELSEN TIBAGI;sim
641;MARIA EUGENIA P ZACARATTO;sim
644;FRANCISCO GONCALVES DE OLIVEIRA BAR;sim
646;DESTILARIA RIO DE ONDAS SA;sim
649;ELEICAO 2008 COMITE FINANCEIRO MUNICIPAL UNICO MG PMDB;sim
652;JOSE GUMERCINO BOTELHO;sim
654;FRANCISCO CARRION SANCHES;sim
657;FLAVIA APARECIDA PARANAIBA POMPEU ME;sim
660;ROSA MONTE PRODUCAO ARTISTICA LTDA ME;sim
662;DORIVAL TORRES SONSINI;sim
665;CELSO MACEDO IBRAHIM ASSIS;sim
668;LOURDES MACHADO MODAS;sim
671;QUIMIL QUIMICA INDUSTRIAL LTDA;nao
675;MARIA ANGELICA MARQUES DOS REIS;sim
678;CRIACAO PERFEITA PROPAGANDA LTDA ME;sim
681;JURANDI RODRIGUES FIGUEIREDO;sim
683;KENNEDY ZEDEKIAS LANA;sim
686;ELETRONAZA VALE DO PARAIBA LTDA;sim
688;OLIVEIRA & DUARTE LTDA;sim
690;R & M FRIOS LTDA;sim
693;CASA DE CARNES ELISA LTDA;sim
696;PEIXARIA RODOVIARIA LTDA;sim
699;FRANZ & CAITANO LTDA;sim
702;BORGES E MARINHO PECAS E SERVICOS LTDA;sim
704;HOTEL E BAR D NATUREZA LTDA;sim
706;DORNELAS & RAVAGLIA LTDA;sim
708;HENRIQUE DE OLIVEIRA BARROS;sim
710;TECNOMON MONTAGENS ELETRICAS LTDA;sim
713;RESTAURANTE BUCAREST LTDA ME;sim
715;LAUDELINA DA COSTA SOARES;sim
717;VEJA BEM QUITANDA E DIVERSOES ELETRONICAS LTDA ME;sim
719;AVF INDUSTRIA QUIMICA LTDA;sim
722;MARCIO SANSAO CONTABILIDADE LTDA;sim
724;FLORA IEMANJA LTDA;sim
726;V A TORRE CIA LTDA;sim
728;AGRIPAW INTERMEDIACAO LTDA SC;sim
731;PEDRO RODRIGUES DA LUZ;sim
734;TENDA DO BEBE CONFECCOES LTDA ME;sim
737;INDUSTRIA DE PRODUTOS ALIMENTICIOS ADRICELI LTDA ME;sim
740;MERCEDES LOPES BADARO;sim
743;DALILA DA SILVA CHIQUITO;sim
745;ELEICAO 2008 COMITE FINANCEIRO MUNICIPAL UNICO SC PP;sim
748;ZILDA PEREIRA PAIFFER;sim
750;ORLANDO ARCANJO;sim
753;ZANNUP INDUSTRIA E COMERCIO DE CONFECCOES LTDA ME;nao
755;ASTEC EMPILHADEIRAS LTDA;sim
758;LOJAS CITYCOL SA;nao
762;ULISSES RODRIGUES DIAS DE MORAES ME;sim
765;AGROPAV AGROPECUARIA LTDA;nao
768;FRANCISCO IVANILDO BARROSO PEREIRA;sim
771;JIVANY RODRIGUES DO VALE SANTOS;sim
774;SHADANA COMERCIO IMPORTACAO E EXPORTACAO LTDA;sim
776;MARLENE ROSA DOS SANTOS ME;sim
778;JOSE MARTINS DA COSTA O GOIANO ME;sim
780;J O MELO ME;sim
782;MARIA LUCIA FELIX BARBOSA;sim
786;ELEICOES 2004 EURONDINO LOPES CUNHA VEREADOR;sim
788;MANOEL DOS SANTOS MERCEARIA;sim
791;WOODSTOCK ALIMENTOS LTDA;sim
793;VETTORELLO ENTREPOSTOS E TERMINAIS ALFANDEGADOS LTDA SC;sim
797;CONCREMIL TECNOLOGIA DE CONCRETO COM E CONST CIVIL LTDA ME;sim
800;EUNICE DE SOUZA FLORENCIO;sim
803;COMERCIAL HALLYA LTDA;sim
805;MARCELO CAVALCANTE PEREIRA DE FARIAS;sim
807;INEZ MEDIANEIRA KAISER DE MEDEIROS ME;sim
810;C LIMA CARVALHO ME;sim
813;PEDRO DONIZETTI MENDONCA;sim
815;LUIZ SANTOS DA SILVA;sim
818;ILSE GERTRUDE HAINBOCK;sim
33328;FRANCELIANO FERREIRA GONTIJO MEI;sim
822;JOSE BERNARDINO FILHO SOROCABA;sim
824;SEBASTIAO FERNANDES DE OLIVEIRA;sim
827;MULTISERV PRESTADORA DE SERVICOS LTDA ME;sim
830;ELEICAO 2008 COMITE FINANCEIRO MUNICIPAL PARA VEREADOR CE PHS;sim
833;ADIR MARREIROS ALVES ARMARINHO;sim
835;NICK & JOE ALIMENTOS EPP LTDA;nao
837;DEXPOL DISTRIBUIDORA DE EXPLOSIVOS LTDA;nao
840;SOCIEDADE DOS EX ALUNOS DA ESC DE MINAS DE OURO PRETO;sim
842;SORAYA MARIA EMOCIJA DE MORAES;sim
845;WACKER INDUSTRIA E MONTAGENS DE MAQUINAS LTDA;sim
848;EUCLIDES SEVERINO DOS SANTOS;sim
850;UNIMPORT COMERCIO IMPORTACAO EXPORTACAO LTDA;nao
852;JOSE MARCIO FERREIRA BAR;sim
854;CHARLY SERVICOS CONTABEIS LTDA;sim
856;ADEMAR XAVIER DOS SANTOS;sim
859;CARLOS PEIXOTO DE FREITAS;sim
862;CARLOS EDUARDO GONCALVES;sim
864;MANUEL VIEIRA CASSIANO;sim
866;CLARIM DISCOS E CINE FOTO SOM LTDA;nao
868;F S LOCACAO DE QUADRAS LTDA;sim
870;Z T DE SOUZA;sim
872;ESTELINA NOGUEIRA KLERK;sim
874;ADILSON BORGES MAGALHAES;sim
876;VERA MARIZA DA SILVA;nao
878;JOSE PATRICIO SOARES DOS SANTOS ME;sim
881;WALDEMAR FORTE ME;sim
884;MINI MERCADO GAZOTTO LTDA ME;sim
886;MARCELO RODRIGUES DE MATTOS;sim
888;A RODRIGUES DIAS;sim
890;KAROLI CONFECCOES LTDA;sim
893;MAURA AVELINA VIEIRA;sim
895;A EDILEIA NASCIMENTO SANTANA;sim
897;J C V COMERCIO E ASSISTENCIA TECNICA LTDA ME;sim
900;COMERCIAL BOLANI LTDA;sim
903;ILDA SCHIER ME;sim
907;DELLEN COMERCIO DE ARTIGOS DO VESTUARIO LTDA ME;sim
909;WT ENGENHARIA INDUSTRIA E CONSTRUCAO LTDA ME;sim
911;J EVANDRO DE SOUSA MERCEARIA ME;sim
914;SAPATARIA LEAL LTDA ME;sim
916;ELEICAO 2008 COMITE FINANCEIRO MUNICIPAL UNICO PA PT;sim
919;LEILA MARIA MEDEIROS FERNANDES ME;sim
921;J A A MELLO SANTOS & CIA LTDA;sim
924;ELIANA MARIA FERREIRA ME;sim
926;EDMIR ESPACAQUERCH;sim
928;REFLORESTADORA HERCULANO LTDA;sim
931;A F COMERCIO DE UTILIDADES DOMESTICAS LTDA ME;sim
934;CORRETA SERVICOS ADMINISTRATIVOS LTDA ME;sim
937;ELEICAO 2006 FRANCISCO HELIO MOREIRA RODRIGUES DEPUTADO FEDERAL;sim
941;CONSULT AGRI CONSULTORIA TECNICA & GESTAO AGRICOLA LTDA ME;sim
943;L O SOUZA ABSORVENTES;sim
945;FRIGORIFICO BOM ATENDIMENTO LTDA;sim
947;HORUS SERVICOS MEDICOS LTDA SC;sim
950;ANTONIO MARCOS DAURICIO ME;sim
952;C H UOMA COMERCIO E REPRESENTACAO;sim
954;FACILE ALIMENTOS LTDA ME;nao
956;POARAMA PORTAS ARTESANAIS DA AMAZONIA INDUST E COM LTDA;sim
959;CONFECCOES FREITAS LTDA;sim
962;ILZA DE OLIVEIRA REGO ME;sim
964;DROGARIA ALMED LTDA;sim
966;PROAV SERVICOS ADMINISTRATIVOS LTDA ME;sim
968;CARMINA PINHEIRO BEZERRA ME;sim
971;COMERCIAL NETO & COSTA DE FRANCA LTDA;sim
973;M P S NUNES ME;sim
976;ELEICOES 2004 CLODOALDO GONCALVES DOURADO VEREADOR;sim
978;CLAUDENET MAUAD;sim
980;MOURA & TELES LTDA ME;sim
983;LANCHONETE E RESTAURANTE JOYA LTDA;sim
987;A CAIXA DE CUSTEIO ESCOLAR DA EEPSG DE CLEMENTINA;sim
990;ELEICAO 2008 COMITE FINANCEIRO MUNICIPAL PARA VEREADOR SP PV;sim
992;ELASTOMEROS QUIMICA E CONSULTORIA TECNICA LTDA;sim
995;COOPERATIVA REGIONAL SUDESTE DOS PRODUTORES DE LAS LTDA;nao
998;BAR CEREIA DE GUARATIBA LTDA;sim
1000;RIVOLLI MOVEIS E DESIGN DE INTERIORES LTDA;sim
1003;ROBERTO MONTEIRO DOS SANTOS VAREJAO DE MOVEIS GUARULHOS;sim
1005;CENTURION GOMES & SILVA LTDA ME;sim
1008;PERI RAMOS PRODUCOES ARTISTICAS LTDA;sim
1012;STEP MINAS LTDA ME;sim
1014;J P COM E REPRESENTACAO DE PRODUTOS SIDERURGICOS LTDA;sim
1016;FAX CENTER LTDA SC;sim
1018;MIGUEL MARIANO MECANICA DE VEICULOS ME;sim
1021;APOIO COMERCIO DE PNEUS E ACESSORIOS LTDA;sim
1023;SATHLER TRANSPORTES LTDA ME;sim
1026;ESCRITORIO CONTABIL JUN CONTIL LTDA SC;sim
1029;ROSALINO FREITAS LAURIENTE;sim
1032;GUEG S INDUSTRIA E COMERCIO LTDA;sim
1034;AVIARIO BAMBUZAL LTDA ME;sim
1036;PIRATELLI & BAPTISTA LTDA;sim
1038;FALBRAN PRODUTOS SIDERURGICOS LTDA;sim
1040;RAF COMUNICACAO LTDA SC;sim
1043;CARLA EMERICH OLIVEIRA DE MIRANDA;sim
1045;SUL AMERICA TRADING EXPORTACAO E IMPORTACAO LTDA ME;sim
1047;ANTONIO CARLOS ALBERGUETI GARCIA JUNIOR;sim
1049;SUPERFILM COMERCIO DE FILM PARA CONTROLE SOLAR LTDA;sim
1051;ALUIR HORSTMANN & CIA LTDA;sim
1053;AFA INFORMATICA LTDA;sim
1056;KILO CASEIRO BAR E RESTAURANTE LTDA ME;sim
1059;DISTRIBUIDORA DE BEBIDAS NOVA PONTE LTDA ME;sim
1061;MARIA ODETE SILVA;sim
1064;SALI MARIA MOLGERO WESTRUP ME;sim
1067;A S DE MATOS COMERCIO E REPRESENTACOES ME;sim
1069;MALHAS GELOTEX LTDA;sim
1072;M COSTA ME;sim
1074;NEUMA FONSECA ME;sim
1077;PAULO ZWIEFKA ME;sim
1080;SEMPRA SERVICOS GERAIS LTDA;sim
1083;M H DE FARIA ME;sim
1086;FUNDO FLIP DE INVESTIMENTO FINANCEIRO;sim
1090;J SOBRAL FILHO MERCEARIA;sim
1092;FRANCISCO SEVERINO DE AGUIAR;sim
1094;RICARTE REPRESENTACOES LTDA ME;sim
1097;SUPERMERCADO TRINDADE LTDA;sim
1100;CLAUDIO ROBERTO KLABIN LTDA SC;sim
1102;M I MONTAGEM INDUSTRIAL LTDA ME SC;sim
1104;MADEIREIRA SAUDADES LTDA ME;sim
1107;ADEMIR BALSANI P VENCESLAU;sim
1109;ELEICOES 2004 DEZAIR DA SILVA VEREADOR;sim
1112;ROMEU COMERCIO DE ESTIVAS E ALIMENTOS LTDA;sim
1114;BILU CONFECCOES LTDA;sim
1117;CASA & CONFORTO COMERCIO DE ROUPAS LTDA;sim
1120;CARLOS AUGUSTO CASER ME;sim
1122;MERCEARIA CONQUIBUS LTDA;sim
1124;NUGOLI REPRESENTACOES LTDA;sim
1126;L S DE LIMA SANTO ANDRE;sim
1128;NORDESTE ADMINISTRACAO E PARTICIPACOES LTDA;sim
1130;MARIA SOLANGE MAIA FIGUEIREDO;sim
1132;ADILSON E TADEU TURISMO LTDA ME;sim
1134;ELEICOES 2004 BENEDITO GASPERONI VEREADOR;sim
1136;M M MUSSER INFORMATICA;sim
1139;ESCOLAS INTEGRADAS DE MATAO LTDA SC;sim
1142;ELEICAO 2008 DANIEL MATTOS ROBLES VEREADOR;sim
1146;SERIU S FOOD COMERCIO DE ALIMENTOS LTDA;sim
1148;BRAGUIN & FILHOS LTDA ME;sim
1151;E C V DE MOURA;sim
1154;MARIA JOSE FIDELIS FONSECA;sim
1156;CONTRABANDO VILAR CONFECCOES LTDA;sim
1158;MICROS & PERIFERICOS LTDA;sim
1160;DEBORA R DE SEIXAS QUEIROZ ROUPAS INFANTIS ME;sim
1162;ELEICAO 2008 COMITE FINANCEIRO MUNICIPAL UNICO TO PT;sim
1166;EDNA MARIA DA SILVA ELETRODOMESTICOS;sim
1169;PANIFICADORA SILVA & PIRES LTDA;sim
1171;I H TEIXEIRA CONSTRUTORA;sim
1173;WILSON NEVES BENZONI;sim
1176;E P REPRESENTACOES LTDA SC;sim
1179;SHOP DIET PRODUTOS HOSPITALARES LTDA;sim
1181;REVIAL COMERCIO DE BEBIDAS LTDA;sim
1184;CARLOS VITOR DE ALCANTARA;sim
1186;PEDRO BOCZAK NETO;sim
1189;E P ALVES LATICINIOS ME;sim
1191;LOJA PRAIA LTDA;sim
1193;COMERCIAL DAN BELL LTDA;sim
1195;NUCLEO DE EMPREENDIMENTO E CONSTRUCAO LTDA;sim
1198;VISTORDI PAPELARIA LTDA ME;sim
1201;LEAL INDUSTRIA E COMERCIO DE CONFECCAO E SERIGRAFIA EPP LTDA;sim
1203;CATARINA GODOI DA SILVA ME;sim
1205;L & L ASSESSORIA DE SERVICOS NOTARIAIS E DE REGISTROS PUBLICOS LTDA;sim
1207;SUPER MERCADO ATALEIA LTDA;sim
1209;R A DA SILVA ME;sim
1212;JOSE CARLOS DE CARVALHO;sim
1215;EMPLACADORA DIAS LTDA;sim
1218;MERCADINHO GAMELEIRA LTDA ME;sim
1221;ARANDA COMERCIO E REPRESENTACAO DE ELETR RURAL LTDA;sim
1223;JOSE MANOEL RIBEIRO;sim
1226;EXTRAGRAF GRAFICA E EDITORA LTDA;sim
1228;MERCEARIA NUNUNO LTDA;sim
1230;TRANSPORTES SAO JOAO LTDA;sim
1233;REPRESENTACOES COMERCIAIS LORECELOS LTDA;sim
1236;FRANCISCO MACHADO EMPORIO ME;sim
1239;PUBLITEL PUBLICIDADE COMERCIO E REPRESENTACOES LTDA;sim
1242;INACIA DE JESUS DALDON;sim
1244;METALURGICA RIO PEQUENO LTDA;sim
